#
#	EMC hadron multiplicity data
#	Ref: Z. Phys. C52 (1991) 361
#
#

#	Table 9
#  x   Q2 z1   z2  z3   z4  z5  z6
#  z1:  0.01 < z < 0.15
#  z2:  0.15 < z < 0.25
#  z3:  0.35 < z < 0.45
#  z4:  0.45 < z < 0.60
#  z5:  0.60 < z < 1.0
   
h+ proton

0.248  24.9 4.950 0.27 2.64 0.13 1.13 0.08 0.561 0.060 0.255 0.030 0.031 0.006
0.266  37.8 4.850 0.20 2.53 0.09 1.10 0.06 0.552 0.045 0.205 0.022 0.024 0.004
0.275  64.7 4.670 0.18 2.40 0.09 0.97 0.06 0.417 0.040 0.185 0.021 0.030 0.005
0.323 118.9 4.170 0.53 1.94 0.26 1.02 0.19 0.627 0.163 0.162 0.063 0.090 0.030
0.485  25.9 2.990 1.58 2.10 0.87 2.34 1.11 0.356 0.278 0.234 0.285 0.020 0.018
0.488  45.3 4.040 0.74 2.53 0.46 1.28 0.30 0.442 0.145 0.306 0.122 0.030 0.018
0.511  69.8 5.750 0.51 2.47 0.22 1.05 0.14 0.488 0.094 0.217 0.054 0.050 0.015
0.539 134.9 4.520 0.56 1.92 0.25 0.67 0.15 0.410 0.129 0.099 0.045 0.037 0.019

done

#  Table 10

h+ deuteron

0.028   2.4 5.357 0.185 2.716 0.088 1.408 0.066 0.800 0.051 0.531 0.039 0.132 0.011
0.031   3.4 5.719 0.286 2.629 0.128 1.531 0.109 0.861 0.085 0.489 0.054 0.142 0.019
0.023   6.9 7.387 1.555 3.134 0.679 0.857 0.261 0.805 0.381 0.476 0.307 0.118 0.106
0.027   9.0 5.900 0.418 3.197 0.236 1.672 0.187 0.861 0.144 0.404 0.072 0.115 0.026
0.031  12.3 5.579 0.503 2.901 0.260 1.888 0.273 0.772 0.141 0.640 0.161 0.086 0.024
0.050   2.5 6.376 0.432 3.008 0.151 1.772 0.118 0.865 0.071 0.484 0.047 0.149 0.015
0.059   3.8 5.426 0.152 2.965 0.071 1.573 0.050 0.867 0.035 0.445 0.020 0.134 0.007
0.062   6.0 5.441 0.147 2.972 0.074 1.531 0.054 0.850 0.040 0.431 0.023 0.125 0.007
0.055   9.6 5.206 0.317 3.117 0.188 1.615 0.137 0.645 0.073 0.412 0.055 0.114 0.017
0.060  13.2 5.144 0.273 3.144 0.179 1.500 0.125 0.996 0.118 0.350 0.046 0.094 0.016
0.066  20.3 5.779 0.209 2.962 0.113 1.666 0.094 0.838 0.067 0.517 0.049 0.096 0.011
0.081  33.0 5.119 0.663 3.301 0.408 1.827 0.380 0.774 0.181 0.457 0.172 0.122 0.066
0.103   4.3 5.682 0.747 3.594 0.342 1.660 0.176 1.061 0.140 0.391 0.052 0.156 0.023
0.124   6.2 6.227 0.355 3.363 0.148 1.608 0.085 0.994 0.064 0.488 0.035 0.139 0.011
0.138   9.0 5.756 0.255 2.947 0.109 1.507 0.072 0.884 0.056 0.435 0.029 0.142 0.011
0.121  13.6 5.777 0.386 3.037 0.183 1.538 0.123 0.836 0.084 0.406 0.046 0.095 0.012
0.136  21.5 5.611 0.220 2.947 0.114 1.479 0.082 0.873 0.064 0.453 0.036 0.078 0.008
0.141  37.6 5.750 0.224 2.957 0.122 1.665 0.095 0.901 0.072 0.462 0.040 0.096 0.012
0.164  59.4 5.345 0.437 2.920 0.253 1.382 0.173 0.788 0.137 0.464 0.085 0.156 0.030
0.227   9.6 6.140 1.086 3.171 0.387 1.737 0.275 1.534 0.293 0.609 0.127 0.172 0.038
0.265  13.3 6.941 0.625 3.668 0.269 1.694 0.166 1.304 0.147 0.577 0.076 0.135 0.020
0.261  23.2 6.331 0.392 3.409 0.184 1.467 0.105 0.850 0.075 0.379 0.038 0.135 0.015
0.272  38.4 5.915 0.347 3.065 0.159 1.654 0.114 0.848 0.081 0.502 0.055 0.099 0.013
0.283  67.5 5.843 0.312 3.085 0.160 1.566 0.115 0.792 0.080 0.397 0.047 0.125 0.016
0.325 118.3 5.683 0.832 2.672 0.426 1.476 0.329 0.940 0.258 0.454 0.147 0.120 0.046
0.471  22.5 5.712 1.177 4.542 0.730 2.500 0.539 1.503 0.369 0.624 0.210 0.278 0.095
0.487  40.2 5.015 1.044 4.966 0.732 2.345 0.446 1.164 0.291 0.696 0.198 0.032 0.023
0.489  69.2 7.633 0.926 3.038 0.363 1.930 0.272 0.975 0.203 0.503 0.113 0.099 0.027
0.510 134.7 6.433 0.907 2.912 0.440 1.460 0.315 1.300 0.296 0.498 0.146 0.184 0.054

done


h- deuteron

0.028   2.4 4.730 0.171 2.357 0.079 1.279 0.064 0.660 0.047 0.316 0.027 0.090 0.009
0.031   3.4 4.549 0.232 2.364 0.119 1.122 0.087 0.728 0.080 0.296 0.036 0.105 0.017
0.023   6.9 6.697 1.553 2.550 0.636 0.759 0.264 1.744 1.281 0.100 0.062 0.206 0.253
0.027   9.0 5.926 0.446 3.037 0.268 1.568 0.210 0.608 0.116 0.268 0.054 0.080 0.022
0.031  12.3 4.668 0.466 2.536 0.275 1.780 0.303 0.698 0.164 0.208 0.061 0.106 0.033
0.050   2.5 5.241 0.357 2.331 0.122 1.152 0.077 0.619 0.055 0.325 0.033 0.101 0.012
0.059   3.8 4.770 0.135 2.587 0.064 1.181 0.041 0.655 0.031 0.279 0.015 0.084 0.005
0.062   6.0 6.409 0.129 2.471 0.066 1.166 0.047 0.624 0.035 0.326 0.021 0.082 0.006
0.055   9.6 4.694 0.292 2.363 0.150 1.062 0.104 0.577 0.077 0.261 0.045 0.065 0.014
0.060  13.2 4.924 0.278 2.529 0.155 1.028 0.095 0.617 0.084 0.370 0.063 0.064 0.014
0.066  20.3 4.896 0.193 2.535 0.112 1.326 0.092 0.635 0.064 0.299 0.035 0.063 0.010
0.081  33.0 4.453 0.653 2.446 0.395 1.699 0.369 0.556 0.197 0.447 0.159 0.050 0.029
0.103   4.3 4.353 0.557 2.304 0.214 1.352 0.156 0.639 0.097 0.313 0.052 0.099 0.019
0.124   6.2 4.678 0.259 2.429 0.112 1.291 0.078 0.675 0.054 0.328 0.029 0.078 0.008
0.138   9.0 4.962 0.220 2.562 0.100 1.103 0.060 0.653 0.047 0.268 0.023 0.055 0.006
0.121  13.6 4.581 0.299 2.197 0.144 1.110 0.099 0.510 0.064 0.258 0.039 0.049 0.008
0.136  21.5 4.668 0.194 2.469 0.105 1.056 0.068 0.510 0.047 0.230 0.025 0.042 0.006
0.141  37.6 4.726 0.204 2.778 0.125 1.256 0.087 0.562 0.057 0.232 0.032 0.050 0.008
0.164  59.4 4.199 0.383 2.858 0.238 1.174 0.174 0.559 0.121 0.320 0.075 0.079 0.025
0.227   9.6 4.534 0.761 2.805 0.359 1.206 0.202 0.462 0.115 0.254 0.067 0.079 0.027
0.265  13.3 4.313 0.434 2.605 0.214 1.427 0.150 0.597 0.088 0.291 0.049 0.054 0.012
0.261  23.2 5.101 0.348 2.372 0.140 1.120 0.098 0.449 0.049 0.267 0.036 0.048 0.008
0.272  38.4 4.729 0.289 2.764 0.154 1.059 0.092 0.630 0.075 0.237 0.041 0.026 0.006
0.283  67.5 4.703 0.273 2.364 0.137 1.201 0.101 0.528 0.067 0.243 0.038 0.043 0.010
0.325 118.3 4.485 0.744 2.715 0.442 0.693 0.223 0.460 0.177 0.630 0.206 0.064 0.033
0.471  22.5 3.463 0.925 2.813 0.537 0.898 0.245 0.607 0.230 0.314 0.167 0.061 0.037
0.487  40.2 4.245 0.921 2.583 0.445 0.938 0.237 0.731 0.229 0.619 0.191 0.018 0.018
0.489  69.2 5.357 0.705 2.664 0.318 1.223 0.218 0.440 0.128 0.158 0.062 0.022 0.013
0.510 134.7 5.698 0.845 1.576 0.325 0.710 0.216 0.833 0.226 0.288 0.110 0.015 0.015

done

