*EXPeriment      = DESY-HERA-HERMES                     
*REACtion        = e+ P  --> e+ X                               
*                  e+ D  --> e+ X                               
*Collaboration   = HERMES                      
*Author          = Airapetian et al. 
*REFerence       = hep-ex/0609039
*Additional info = High precision measurement of the structure functions G1p and *                 G1d in deep inelastic scattering of 27.6 GeV longitudinally
*		  polarized positrons on longitudinally polarized hydrogen and
*		  deuterium targets.  Data are also given for the measured 
*		  asymmetries, the virtual photon asymmetries A1, and the 
*		  measured values of G1n and G1(NS) by combining the data
*		  from the two targets.  The data cover the kinematical
*		  regions 0.0041 < x < 0.9 and  0.18 GeV2 < Q2 < 20 GeV2.
*
*=============================================================================
*This section contains the vitrual photon asymmetries for both the hydrogen and deuterium data.
*Three sets of data are given binned in 45 , 19 and 15 bins in x and Q2
*The error +-par refers to the uncertainty in particle identification.
*The error +-evol in the 19 and 15 bin sets refers to the uncertainty arising from evolving to a common Q2. 
*=============================================================================


*---PROTON TARGET----------------------------


  <x>   <Q2 GeV2>    A1p     +-stat    +-syst    +-par     
1 00   
0.0058    0.26    0.0221	 0.0270    0.0028    0.0011
0.0096    0.41    0.0158	 0.0192    0.0025    0.0007
0.0142    0.57    0.0364	 0.0190    0.0034    0.0016
0.0190    0.73    0.0459	 0.0229    0.0042    0.0022
0.0248    0.82    0.0667	 0.0212    0.0050    0.0038
0.0264    1.12    0.1113	 0.0351    0.0088    0.0036
0.0325    0.87    0.1137	 0.0486    0.0063    0.0075
0.0329    1.25    0.0975	 0.0268    0.0078    0.0039
0.0399    0.90    0.1289	 0.0775    0.0078    0.0089
0.0403    1.38    0.0897	 0.0236    0.0072    0.0039
0.0498    0.93    0.0885	 0.1108    0.0090    0.0062
0.0506    1.54    0.1061	 0.0201    0.0089    0.0046
0.0643    1.25    0.1358	 0.0525    0.0082    0.0079
0.0645    1.85    0.1002	 0.0290    0.0080    0.0038
0.0655    2.58    0.0918	 0.0334    0.0089    0.0024
0.0823    1.31    0.1377	 0.0673    0.0097    0.0076
0.0824    2.06    0.1871	 0.0314    0.0120    0.0072
0.0835    3.08    0.2057	 0.0295    0.0141    0.0079
0.1051    1.38    0.2318	 0.0900    0.0149    0.0095
0.1054    2.29    0.1563	 0.0355    0.0107    0.0056
0.1064    3.65    0.2131	 0.0284    0.0146    0.0086
0.1344    1.46    0.2222	 0.1233    0.0147    0.0078
0.1347    2.56    0.2539	 0.0404    0.0160    0.0107
0.1358    4.30    0.2627	 0.0289    0.0171    0.0094
0.1719    1.56    0.3247	 0.1765    0.0208    0.0105
0.1722    2.87    0.3231	 0.0474    0.0202    0.0135
0.1734    5.05    0.3095	 0.0311    0.0198    0.0097
0.2191    1.67    0.3267	 0.2539    0.0267    0.0118
0.2200    3.18    0.3160	 0.0571    0.0211    0.0118
0.2213    5.87    0.3312	 0.0349    0.0202    0.0101
0.2786    1.98    0.5419	 0.2916    0.0327    0.0182
0.2810    3.77    0.4005	 0.0681    0.0251    0.0137
0.2824    6.94    0.4020	 0.0425    0.0252    0.0126
0.3550    2.46    0.5030	 0.3315    0.0459    0.0191
0.3585    4.62    0.4901	 0.0840    0.0342    0.0169
0.3603    8.25    0.5151	 0.0570    0.0305    0.0170
0.4520    3.08    0.5114	 0.4187    0.0491    0.0220
0.4567    5.61    0.6858	 0.1155    0.0423    0.0240
0.4589    9.72    0.6137	 0.0846    0.0359    0.0216
0.5629    3.90    0.6971	 0.5745    0.0663    0.0289
0.5798    6.77    0.4508	 0.2072    0.0328    0.0193
0.5823   11.36    0.7261	 0.1526    0.0451    0.0277
0.6921    6.32    0.6805	 0.8498    0.0603    0.0292
0.7173    9.56    1.0606	 0.3406    0.0633    0.0415
0.7311   14.29    1.2060	 0.4092    0.0692    0.0503


*------DEUTERON TARGET-----------------------------------------


<x>   <Q2 GeV2>       A1d     +-stat    +-syst    +-par
3 00   
0.0058    0.26  0.0092	 0.0122    0.0005    0.0005 
0.0096    0.41 -0.0028	 0.0090    0.0004    0.0001 
0.0142    0.57 -0.0017	 0.0091    0.0004    0.0001 
0.0190    0.73 -0.0033	 0.0111    0.0005    0.0002 
0.0248    0.82  0.0072	 0.0107    0.0007    0.0004 
0.0264    1.12  0.0275	 0.0167    0.0018    0.0009 
0.0325    0.87  0.0022	 0.0256    0.0006    0.0002 
0.0329    1.25 -0.0123	 0.0133    0.0005    0.0005 
0.0399    0.90  0.0119	 0.0423    0.0007    0.0009 
0.0403    1.38  0.0039	 0.0120    0.0011    0.0002 
0.0498    0.93 -0.0068	 0.0609    0.0025    0.0005 
0.0506    1.54  0.0210	 0.0104    0.0018    0.0009 
0.0643    1.25  0.0344	 0.0289    0.0015    0.0021 
0.0645    1.85  0.0305	 0.0152    0.0021    0.0012 
0.0655    2.58  0.0116	 0.0170    0.0020    0.0003 
0.0823    1.31  0.0023	 0.0389    0.0011    0.0005 
0.0824    2.06  0.0678	 0.0168    0.0034    0.0026 
0.0835    3.08  0.0690	 0.0153    0.0036    0.0027 
0.1051    1.38  0.0236	 0.0554    0.0023    0.0013 
0.1054    2.29  0.0365	 0.0194    0.0028    0.0014 
0.1064    3.65  0.0585	 0.0151    0.0033    0.0024 
0.1344    1.46  0.1378	 0.0821    0.0053    0.0046 
0.1347    2.56  0.1022	 0.0227    0.0056    0.0044 
0.1358    4.30  0.0785	 0.0156    0.0039    0.0028 
0.1719    1.56  0.0941	 0.1260    0.0035    0.0035 
0.1722    2.87  0.1553	 0.0274    0.0077    0.0065 
0.1734    5.05  0.1179	 0.0170    0.0055    0.0037 
0.2191    1.67  0.0719	 0.1899    0.0097    0.0038 
0.2200    3.18  0.1113	 0.0345    0.0079    0.0043 
0.2213    5.87  0.1786	 0.0194    0.0077    0.0054 
0.2786    1.98  0.3470	 0.2266    0.0141    0.0108 
0.2810    3.77  0.1591	 0.0429    0.0095    0.0056 
0.2824    6.94  0.1866	 0.0243    0.0082    0.0059 
0.3550    2.46  0.1936	 0.2598    0.0187    0.0079 
0.3585    4.62  0.2720	 0.0548    0.0130    0.0092 
0.3603    8.25  0.3436	 0.0337    0.0148    0.0112 
0.4520    3.08  0.5691	 0.3347    0.0358    0.0179 
0.4567    5.61  0.4414	 0.0782    0.0194    0.0149 
0.4589    9.72  0.3654	 0.0522    0.0158    0.0128 
0.5629    3.90 -0.0105	 0.4548    0.0419    0.0085 
0.5798    6.77  0.2927	 0.1494    0.0139    0.0113 
0.5823   11.36  0.4970	 0.0976    0.0209    0.0187 
0.6921    6.32  0.9701	 0.6553    0.0600    0.0330 
0.7173    9.56  0.5813	 0.2416    0.0240    0.0225 
0.7311   14.29  1.1976	 0.2867    0.0493    0.0493 
