 EXPeriment = DESY-PETRA-TASSO                                                
   sqrt(s)    = 34 GeV
   Author     = Braunschweig et al 
   REFerence  = 1989 Zeit. Phys. C42, 189
   


    xp       xp       1/sig(h) dsig/dxp   
    min      max                       error
1 42
    0.0171   0.0229        7.5         0.5           
    0.0229   0.0286       10.0         0.9           
    0.0286   0.0343       16.1         1.2          
    0.0343   0.0400       14.9         1.7          
    0.0400   0.0457       13.3         3.0          
    0.0457   0.0571       12.1         2.8          
    0.0571   0.0914       10.5         2.3           
    0.0914   0.114         6.3         2.8           
    0.171    0.217         3.57        0.61         
    0.217    0.343         1.75        0.28         
    0.571    0.971         0.05        0.02           

