**************************************************************************
These are published data of the HERMES Collaboration. You are free to
use these data in any publication. However, you must make a reference
to the following publication: A. Airapetian et al, Phys. Rev D 71
(2005) 012003 [DC42]
**************************************************************************

*-----------------------------------------------------------------------------
*
Asymmetries (avg by addAM)
* *
* Files:
* 97c1-2003.07.15/full.mcstats/A1.born.txt
* 96c2-2003.07.15/full.mcstats/A1.born.txt
*
* Date: Fri Jul 18 14:59:44 2003
* JW (juergen@triumf.ca)
*------------------------------------------------------------------------------

*-----------------------------------------------------------------------------
* Targets:
* 1 - proton
* 2 - neutron
* 3 - deuterium
* 4 - helium3
*
* Asymmetry types:
* 10 - DIS e
* 20 - h+ * 21 - h- * 22 - (h+ - h-) * 30 - pi+ * 31 - pi- * 32 - (pi+
- pi-) * 40 - K+ * 41 - K- * 42 - (K+ - K-) * 43 - K0s
* 50 - p * 51 - p_bar * 52 - (p - p_bar) * 60 - non-pion+ * 61 -
non-pion- * 62 - (non-pion+ - non-pion-)
*
*-----------------------------------------------------------------------------
*

*---- proton target ----
x 	Q2/GeV2 z 	Ah+ 1,p stat. 	syst. 	MC 
1 20
0.034 	1.21 	0.356 	0.1097 	0.0299 	0.0077 	0.0067 	
0.048 	1.44 	0.375 	0.1640 	0.0316 	0.0113 	0.0075 	
0.065 	1.72 	0.386 	0.1361 	0.0329 	0.0096 	0.0083 	
0.087 	2.06 	0.393 	0.2075 	0.0370 	0.0147 	0.0095 	
0.118 	2.58 	0.395 	0.3011 	0.0356 	0.0212 	0.0088 	
0.166 	3.52 	0.390 	0.2851 	0.0384 	0.0209 	0.0082 	
0.239 	5.03 	0.388 	0.4223 	0.0456 	0.0292 	0.0075 	 	 
0.338 	7.09 	0.377 	0.4046 	0.0914 	0.0291 	0.0101 	
0.448 	9.76 	0.364 	0.7586 	0.1756 	0.0519 	0.0122 	

x 	Q2/GeV2 z 	Ah- 1,p stat. 	syst. 	MC 	 
1 21
0.034 	1.21 	0.356 	0.0724 	0.0341 	0.0054 	0.0073
0.048 	1.44 	0.375 	0.1262 	0.0365 	0.0087 	0.0085
0.065 	1.72 	0.386 	0.0901 	0.0382 	0.0057 	0.0094
0.087 	2.06 	0.393 	0.0953 	0.0442 	0.0066 	0.0111
0.118 	2.58 	0.395 	0.1860 	0.0445 	0.0135 	0.0109
0.166 	3.52 	0.390 	0.1770 	0.0498 	0.0127 	0.0104
0.239 	5.03 	0.388 	0.2360 	0.0639 	0.0165 	0.0106
0.338 	7.09 	0.377 	0.5696 	0.1339 	0.0387 	0.0157
0.448 	9.76 	0.364 	0.4957 	0.2715 	0.0341 	0.0231 	 

x 	Q2/GeV2 z 	Api+1,p stat. 	syst. 	MC 	
1 30
0.033 	1.22 	0.364 	0.0800 	0.0353 	0.0058 	0.0077 	
0.047 	1.50 	0.416 	0.1336 	0.0387 	0.0091 	0.0088 	
0.064 	1.87 	0.449 	0.0829 	0.0408 	0.0067 	0.0093 	
0.087 	2.38 	0.471 	0.2312 	0.0459 	0.0157 	0.0102 	
0.118 	3.08 	0.487 	0.3163 	0.0458 	0.0212 	0.0093 	
0.166 	4.22 	0.490 	0.3017 	0.0525 	0.0201 	0.0090 	
0.238 	5.83 	0.504 	0.2784 	0.0695 	0.0197 	0.0092 	
0.337 	7.97 	0.506 	0.5566 	0.1530 	0.0373 	0.0138 	
0.449 	10.49 	0.496 	0.8651 	0.3185 	0.0558 	0.0175 	

x 	Q2/GeV2 z 	Api-1,p stat. 	syst. 	MC
1 31
0.033 	1.22 	0.364 	0.0675 	0.0388 	0.0053 	0.0081
0.047 	1.50 	0.416 	0.1450 	0.0431 	0.0095 	0.0092
0.064 	1.87 	0.449 	0.0649 	0.0461 	0.0039 	0.0100
0.087 	2.38 	0.471 	0.0714 	0.0536 	0.0047 	0.0109
0.118 	3.08 	0.487 	0.0754 	0.0547 	0.0057 	0.0101
0.166 	4.22 	0.490 	0.1572 	0.0645 	0.0105 	0.0102
0.238 	5.83 	0.504 	0.2696 	0.0889 	0.0187 	0.0108
