 EXPeriment = CERN-LEP-OPAL                                                 
   sqrt(s)    = 91.2 GeV
   Author     = Akers et al 
   REFerence  = 1994 Zeit. Phys.  C63, 181
   


       p(GeV/c)           1/sig(h) dsig/dp      errors
     min      max                           stat.    sys.


1 42
     0.271    0.281            0.363        0.030    0.028      
     0.281    0.292            0.373        0.027    0.028     
     0.292    0.304            0.367        0.024    0.025      
     0.304    0.317            0.374        0.022    0.023      
     0.317    0.331            0.375        0.021    0.019      
     0.331    0.346            0.410        0.020    0.019      
     0.346    0.362            0.431        0.020    0.019      
     0.362    0.379            0.418        0.018    0.020     
     0.379    0.397            0.456        0.018    0.016      
     0.397    0.416            0.499        0.018    0.017      
     0.416    0.436            0.514        0.017    0.016      
     0.436    0.457            0.486        0.011    0.011      
     0.457    0.480            0.522        0.011    0.011      
     0.480    0.504            0.541        0.011    0.012      
     0.504    0.528            0.539        0.011    0.018      
     0.528    0.555            0.557        0.011    0.020      
     0.555    0.583            0.587        0.011    0.014      
     0.583    0.612            0.590        0.010    0.048      
     0.612    0.643            0.586        0.010    0.016      
     0.643    0.675            0.591        0.010    0.044      
     0.675    0.709            0.614        0.009    0.024      
     0.709    0.745            0.597        0.009    0.025      
     0.745    0.783            0.613        0.009    0.031      
     4.05     4.95             0.181        0.004    0.015      
     4.95     6.05             0.138        0.003    0.009      
     6.05     7.38             0.103        0.001    0.006      
     7.38     9.02             0.0767       0.0010   0.0042    
     9.02    11.01             0.0536       0.0006   0.0029    
    11.01    13.45             0.0349       0.0005   0.0018    
    13.45    16.43             0.0220       0.0003   0.0012    
    16.43    20.06             0.0127       0.0003   0.0007    
    20.06    29.93             0.0042       0.0001   0.0003    
    29.93    45.60             0.0004       0.0001   0.0001     

