DHARMAWARDANE 06 NUCL-EX/0605028
A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.5250 GeV
 E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 2.5250
 x = X y = A1 x y +- dstat +- dsys 
1 2.525
 0.1140  0.7070 0.1675 0.0402 0.0155 
 0.1332  0.8440 0.2328 0.0446 0.0178 
 0.1553  1.0100 0.2310 0.0494 0.0212 
 0.1793  1.2000 0.2213 0.0327 0.0236 
 0.2077  1.4400 0.2453 0.0351 0.0271 
 0.2374  1.7100 0.4157 0.0344 0.0317 
 0.2717  2.0500 0.3231 0.0370 0.0351
 0.3075  2.4400 0.3923 0.0333 0.0372
 0.3470  2.9200 0.4260 0.0582 0.0485
 0.3878  3.4800 0.2532 0.1287 0.0431

A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.5750 GeV
 E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 2.5750
 x = X y = A1 x y +- dstat +- dsys
1 2.575
 0.1095 0.7070 0.1522 0.0384 0.0143
 0.1280 0.8440 0.1208 0.0440 0.0165
 0.1494 1.0100 0.2298 0.0426 0.0190
 0.1727 1.2000 0.2444 0.0319 0.0228
 0.2003 1.4400 0.3071 0.0355 0.0284
 0.2293 1.7100 0.3195 0.0343 0.0303
 0.2629 2.0500 0.3733 0.0339 0.0361
 0.2980 2.4400 0.3389 0.0341 0.0376
 0.3368 2.9200 0.5558 0.0654 0.0673
 0.3771 3.4800 0.6954 0.2259 0.0967

A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.6250 GeV 
E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 2.6250 
x = X y = A1 x y +- dstat +- dsys 
1 2.625
 0.1053  0.7070 0.1468 0.0402 0.0142
 0.1232  0.8440 0.1692 0.0380 0.0146
 0.1439  1.0100 0.1789 0.0418 0.0181
 0.1665  1.2000 0.2658 0.0320 0.0216
 0.1933  1.4400 0.2825 0.0353 0.0287 
